social_site,date,number_results,error
telegram,2022-01-30,33,NA
truth_social,2022-01-30,0,NA
gettr,2022-01-30,177,NA
parler,2022-01-30,32,NA
gab,2022-01-30,139,NA
telegram,2022-01-31,21,NA
truth_social,2022-01-31,0,NA
gettr,2022-01-31,248,NA
parler,2022-01-31,57,NA
gab,2022-01-31,148,NA
telegram,2022-02-01,44,NA
truth_social,2022-02-01,0,NA
gettr,2022-02-01,161,NA
parler,2022-02-01,23,NA
gab,2022-02-01,94,NA
telegram,2022-02-02,36,NA
truth_social,2022-02-02,0,NA
gettr,2022-02-02,240,NA
parler,2022-02-02,32,NA
gab,2022-02-02,161,NA
telegram,2022-02-03,44,NA
truth_social,2022-02-03,0,NA
gettr,2022-02-03,340,NA
parler,2022-02-03,54,NA
gab,2022-02-03,273,NA
telegram,2022-02-04,46,NA
truth_social,2022-02-04,0,NA
gettr,2022-02-04,400,NA
parler,2022-02-04,76,NA
gab,2022-02-04,231,NA
telegram,2022-02-05,49,NA
truth_social,2022-02-05,0,NA
gettr,2022-02-05,555,NA
parler,2022-02-05,53,NA
gab,2022-02-05,285,NA
telegram,2022-02-06,35,NA
truth_social,2022-02-06,0,NA
gettr,2022-02-06,263,NA
parler,2022-02-06,28,NA
gab,2022-02-06,146,NA
telegram,2022-02-07,36,NA
truth_social,2022-02-07,0,NA
gettr,2022-02-07,388,NA
parler,2022-02-07,42,NA
gab,2022-02-07,152,NA
telegram,2022-02-08,54,NA
truth_social,2022-02-08,0,NA
gettr,2022-02-08,345,NA
parler,2022-02-08,60,NA
gab,2022-02-08,187,NA
telegram,2022-02-09,21,NA
truth_social,2022-02-09,0,NA
gettr,2022-02-09,253,NA
parler,2022-02-09,24,NA
gab,2022-02-09,104,NA
telegram,2022-02-10,55,NA
truth_social,2022-02-10,0,NA
gettr,2022-02-10,165,NA
parler,2022-02-10,20,NA
gab,2022-02-10,109,NA
telegram,2022-02-11,27,NA
truth_social,2022-02-11,0,NA
gettr,2022-02-11,131,NA
parler,2022-02-11,89,NA
gab,2022-02-11,70,NA
telegram,2022-02-12,15,NA
truth_social,2022-02-12,0,NA
gettr,2022-02-12,132,NA
parler,2022-02-12,18,NA
gab,2022-02-12,58,NA
telegram,2022-02-13,17,NA
truth_social,2022-02-13,0,NA
gettr,2022-02-13,178,NA
parler,2022-02-13,41,NA
gab,2022-02-13,67,NA
telegram,2022-02-14,37,NA
truth_social,2022-02-14,4,NA
gettr,2022-02-14,359,NA
parler,2022-02-14,43,NA
gab,2022-02-14,304,NA
telegram,2022-02-15,49,NA
truth_social,2022-02-15,0,NA
gettr,2022-02-15,423,NA
parler,2022-02-15,38,NA
gab,2022-02-15,192,NA
telegram,2022-02-16,49,NA
truth_social,2022-02-16,0,NA
